,series id,year,period,value,footnotes,area_name,valueh,timeperiod
0,SMU06497000500000003,2012,M12,21.63,,"Yuba City, CA",36.2,2012-12
1,SMU06497000500000003,2012,M11,21.2,,"Yuba City, CA",35.8,2012-11
2,SMU06497000500000003,2012,M10,20.92,,"Yuba City, CA",35.5,2012-10
3,SMU06497000500000003,2012,M09,20.82,,"Yuba City, CA",36.9,2012-09
4,SMU06497000500000003,2012,M08,21.46,,"Yuba City, CA",32.6,2012-08
5,SMU06497000500000003,2012,M07,21.24,,"Yuba City, CA",35.2,2012-07
6,SMU06497000500000003,2012,M06,21.79,,"Yuba City, CA",32.2,2012-06
7,SMU06497000500000003,2012,M05,21.63,,"Yuba City, CA",33.1,2012-05
8,SMU06497000500000003,2012,M04,21.48,,"Yuba City, CA",33.8,2012-04
9,SMU06497000500000003,2012,M03,21.63,,"Yuba City, CA",33.1,2012-03
10,SMU06497000500000003,2012,M02,22.91,,"Yuba City, CA",34.0,2012-02
11,SMU06497000500000003,2012,M01,22.91,,"Yuba City, CA",37.4,2012-01
12,SMU06497000500000003,2011,M12,22.58,,"Yuba City, CA",36.2,2011-12
13,SMU06497000500000003,2011,M11,23.43,,"Yuba City, CA",35.9,2011-11
14,SMU06497000500000003,2011,M10,24.37,,"Yuba City, CA",36.3,2011-10
15,SMU06497000500000003,2011,M09,25.35,,"Yuba City, CA",36.1,2011-09
16,SMU06497000500000003,2011,M08,24.43,,"Yuba City, CA",35.4,2011-08
17,SMU06497000500000003,2011,M07,23.79,,"Yuba City, CA",35.1,2011-07
18,SMU06497000500000003,2011,M06,23.28,,"Yuba City, CA",37.7,2011-06
19,SMU06497000500000003,2011,M05,24.42,,"Yuba City, CA",36.0,2011-05
20,SMU06497000500000003,2011,M04,24.13,,"Yuba City, CA",36.7,2011-04
21,SMU06497000500000003,2011,M03,23.99,,"Yuba City, CA",36.6,2011-03
22,SMU06497000500000003,2011,M02,23.25,,"Yuba City, CA",36.1,2011-02
23,SMU06497000500000003,2011,M01,23.65,,"Yuba City, CA",36.6,2011-01
24,SMU06497000500000003,2010,M12,23.38,,"Yuba City, CA",36.6,2010-12
25,SMU06497000500000003,2010,M11,23.94,,"Yuba City, CA",36.1,2010-11
26,SMU06497000500000003,2010,M10,23.51,,"Yuba City, CA",36.6,2010-10
27,SMU06497000500000003,2010,M09,23.09,,"Yuba City, CA",36.3,2010-09
28,SMU06497000500000003,2010,M08,23.21,,"Yuba City, CA",37.2,2010-08
29,SMU06497000500000003,2010,M07,23.91,,"Yuba City, CA",36.4,2010-07
30,SMU06497000500000003,2010,M06,23.2,,"Yuba City, CA",36.0,2010-06
31,SMU06497000500000003,2010,M05,23.17,,"Yuba City, CA",36.3,2010-05
32,SMU06497000500000003,2010,M04,22.88,,"Yuba City, CA",36.1,2010-04
33,SMU06497000500000003,2010,M03,23.39,,"Yuba City, CA",36.1,2010-03
34,SMU06497000500000003,2010,M02,23.09,,"Yuba City, CA",36.3,2010-02
35,SMU06497000500000003,2010,M01,23.12,,"Yuba City, CA",36.0,2010-01
36,SMU06497000500000003,2009,M12,22.17,,"Yuba City, CA",35.5,2009-12
37,SMU06497000500000003,2009,M11,21.56,,"Yuba City, CA",37.2,2009-11
38,SMU06497000500000003,2009,M10,22.03,,"Yuba City, CA",36.1,2009-10
39,SMU06497000500000003,2009,M09,21.87,,"Yuba City, CA",35.5,2009-09
40,SMU06497000500000003,2009,M08,21.26,,"Yuba City, CA",36.1,2009-08
41,SMU06497000500000003,2009,M07,22.11,,"Yuba City, CA",35.3,2009-07
42,SMU06497000500000003,2009,M06,21.9,,"Yuba City, CA",35.0,2009-06
43,SMU06497000500000003,2009,M05,21.91,,"Yuba City, CA",35.9,2009-05
44,SMU06497000500000003,2009,M04,21.26,,"Yuba City, CA",36.3,2009-04
45,SMU06497000500000003,2009,M03,21.59,,"Yuba City, CA",35.7,2009-03
46,SMU06497000500000003,2009,M02,21.96,,"Yuba City, CA",35.1,2009-02
47,SMU06497000500000003,2009,M01,21.58,,"Yuba City, CA",34.4,2009-01
48,SMU06497000500000003,2008,M12,21.75,,"Yuba City, CA",33.9,2008-12
49,SMU06497000500000003,2008,M11,21.3,,"Yuba City, CA",35.3,2008-11
50,SMU06497000500000003,2008,M10,21.83,,"Yuba City, CA",36.0,2008-10
51,SMU06497000500000003,2008,M09,21.74,,"Yuba City, CA",36.0,2008-09
52,SMU06497000500000003,2008,M08,20.85,,"Yuba City, CA",37.7,2008-08
53,SMU06497000500000003,2008,M07,20.18,,"Yuba City, CA",34.8,2008-07
54,SMU06497000500000003,2008,M06,19.82,,"Yuba City, CA",35.9,2008-06
55,SMU06497000500000003,2008,M05,19.73,,"Yuba City, CA",33.2,2008-05
56,SMU06497000500000003,2008,M04,19.88,,"Yuba City, CA",32.8,2008-04
57,SMU06497000500000003,2008,M03,19.85,,"Yuba City, CA",34.2,2008-03
58,SMU06497000500000003,2008,M02,19.36,,"Yuba City, CA",31.3,2008-02
59,SMU06497000500000003,2008,M01,19.17,,"Yuba City, CA",31.3,2008-01
60,SMU06497000500000003,2007,M12,19.24,,"Yuba City, CA",33.0,2007-12
61,SMU06497000500000003,2007,M11,19.24,,"Yuba City, CA",33.1,2007-11
62,SMU06497000500000003,2007,M10,19.2,,"Yuba City, CA",33.0,2007-10
63,SMU06497000500000003,2007,M09,19.25,,"Yuba City, CA",33.6,2007-09
64,SMU06497000500000003,2007,M08,19.35,,"Yuba City, CA",33.0,2007-08
65,SMU06497000500000003,2007,M07,19.6,,"Yuba City, CA",32.5,2007-07
66,SMU06497000500000003,2007,M06,19.55,,"Yuba City, CA",32.9,2007-06
67,SMU06497000500000003,2007,M05,19.45,,"Yuba City, CA",32.8,2007-05
68,SMU06497000500000003,2007,M04,19.25,,"Yuba City, CA",33.1,2007-04
